,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
AusPlay survey results January 2024 - December 2024,,,,,,,,,,,,
Released at:,,30 April 2025,,,,,,,,,,
Table number:,,7,,, ,,,,,,,
Table name:,,Places where activity took place (adults),,,,,,,,,,
Base:,,Adult population,,,,,,,,,,
,,Total,,Public space,Home environment,"Gym/fitness club/sports/
leisure centre","Free 
community facilities",Sports club or association facilities,Private or commercial premises,"Recreation club 
or association facilities","Educational 
institution
 facilities",Workplace
,,Participation rate,,,,,,,,,,
All,Total,86.6%,,63.0%,29.7%,28.6%,22.4%,20.0%,16.2%,10.0%,6.9%,6.4%
, 15-17,86.6%,,58.0%,38.5%,30.0%,37.4%,41.4%,19.0%,16.7%,35.4%,6.7%
, 18-24,88.1%,,58.8%,39.3%,41.5%,35.0%,30.7%,22.9%,15.4%,19.2%,8.5%
, 25-34,91.6%,,61.5%,34.3%,40.5%,30.3%,25.6%,24.7%,13.1%,8.4%,10.5%
, 35-44,89.1%,,60.7%,32.4%,30.4%,24.1%,19.8%,18.2%,10.2%,4.5%,7.2%
, 45-54,88.6%,,68.9%,30.2%,24.8%,21.1%,15.1%,13.6%,7.2%,4.2%,7.7%
, 55-64,86.0%,,70.8%,26.7%,22.3%,15.1%,15.2%,11.7%,5.4%,1.1%,4.4%
, 65+,78.4%,,60.5%,17.9%,16.1%,9.8%,12.1%,7.5%,8.0%,1.0%,1.1%
,,,,,,,,,,,,
Males,Total,87.2%,,61.1%,28.7%,27.4%,22.7%,26.0%,13.7%,11.6%,7.8%,7.0%
, 15-17,86.7%,,57.6%,40.5%,21.5%,34.9%,44.9%,17.5%,14.9%,41.1%,6.5%
, 18-24,87.6%,,52.4%,37.1%,36.8%,36.3%,36.8%,18.5%,17.7%,20.5%,9.8%
, 25-34,91.5%,,55.8%,32.1%,39.3%,30.8%,33.2%,20.8%,16.6%,10.2%,12.3%
, 35-44,88.8%,,57.3%,30.3%,31.1%,25.3%,25.7%,15.0%,13.1%,5.1%,7.4%
, 45-54,89.4%,,66.9%,29.1%,24.5%,21.1%,19.8%,12.7%,8.4%,4.9%,8.2%
, 55-64,86.3%,,70.7%,26.2%,20.4%,15.5%,21.5%,10.5%,7.2%,1.2%,4.6%
, 65+,80.8%,,64.6%,18.3%,15.2%,8.1%,17.0%,5.6%,6.7%,0.5%,1.1%
,,,,,,,,,,,,
Females,Total,86.1%,,64.9%,30.5%,29.8%,22.1%,14.4%,18.6%,8.6%,6.0%,5.6%
, 15-17,88.3%,,57.7%,37.3%,38.6%,39.9%,41.8%,21.9%,18.8%,31.5%,7.4%
, 18-24,88.7%,,65.9%,41.7%,47.4%,33.8%,23.9%,28.3%,13.3%,18.0%,6.9%
, 25-34,91.8%,,66.9%,36.4%,41.8%,30.0%,18.3%,28.5%,9.8%,6.6%,8.6%
, 35-44,89.8%,,64.5%,34.5%,29.9%,22.9%,14.2%,21.5%,7.4%,4.0%,7.1%
, 45-54,87.6%,,70.9%,31.3%,24.8%,20.8%,10.0%,14.1%,5.8%,3.5%,7.1%
