geo_point_2d,geo_shape,name,parktype,postcode,surfacetype,wickettype,melref,latitude,longitude,easting,northing,projection,googlemaps_drive_to
"-38.062456119176126, 145.2907101755352","{""coordinates"": [[[[145.2913652927, -38.0624533498], [145.2913706946, -38.0624172026], [145.2913700392, -38.0623964629], [145.2913706286, -38.0623768538], [145.2913684094, -38.0623562459], [145.2913662612, -38.0623325737], [145.2913624768, -38.0623119253], [145.2913603774, -38.0622900397], [145.2913549237, -38.0622699338], [145.2913474312, -38.0622442233], [145.2913403659, -38.062224564], [145.2913287529, -38.0621896991], [145.2913186975, -38.0621711687], [145.291307448, -38.0621402748], [145.2912960106, -38.0621223551], [145.2912895177, -38.0621074813], [145.2912766941, -38.0620903526], [145.2912659082, -38.0620689278], [145.2912529469, -38.062047922], [145.2912382689, -38.0620321181], [145.2912263213, -38.0620165341], [145.2912104787, -38.0620017947], [145.2911905236, -38.0619874461], [145.2911735185, -38.061973681], [145.2911541801, -38.0619622251], [145.2911362363, -38.0619496179], [145.2911162695, -38.0619406762], [145.2910973952, -38.0619288666], [145.2910783441, -38.0619197579], [145.291057521, -38.061913327], [145.2910373409, -38.0619037514], [145.2910115064, -38.0618971575], [145.2909876907, -38.0618870784], [145.290966437, -38.0618795598], [145.290942664, -38.0618725453], [145.2909216892, -38.0618677343], [145.2908998197, -38.0618621893], [145.2908512028, -38.0618549937], [145.2908283379, -38.061853039], [145.290788601, -38.0618511994], [145.2907658165, -38.0618506877], [145.2907243034, -38.061851706], [145.2907013714, -38.0618526341], [145.2906772518, -38.0618556177], [145.2906545141, -38.0618579905], [145.2906077247, -38.0618653304], [145.2905799086, -38.0618704229], [145.2905457669, -38.0618779468], [145.2905240701, -38.0618845703], [145.2905034982, -38.0618918409], [145.2904824536, -38.0618998257], [145.2904589995, -38.0619084963], [145.2904384953, -38.0619177506], [145.2904206747, -38.0619243403], [145.2903830742, -38.0619433489], [145.2903642204, -38.0619551505], [145.290346778, -38.0619650801], [145.2903289225, -38.0619780677], [145.2903115102, -38.0619916025], [145.290294655, -38.0620056861], [145.290278359, -38.0620202284], [145.2902626203, -38.0620353194], [145.290247555, -38.0620508708], [145.2902330499, -38.0620668804], [145.2902191037, -38.0620834381], [145.2902060305, -38.0621002424], [145.2901933869, -38.0621175614], [145.2901819935, -38.0621350023], [145.2901715335, -38.0621527529], [145.2901531599, -38.0621721435], [145.2901433703, -38.0621907884], [145.2901285708, -38.062214544], [145.29012037, -38.0622338901], [145.2901120165, -38.0622499898], [145.2901051743, -38.0622697163], [145.2900944916, -38.062287945], [145.2900892362, -38.062308055], [145.2900798265, -38.0623303575], [145.29007616, -38.062350761], [145.2900670655, -38.0623791061], [145.2900592928, -38.0623996301], [145.2900534628, -38.0624150456], [145.2900529826, -38.0624356757], [145.2900496691, -38.0624605002], [145.2900507862, -38.0624810634], [145.2900545765, -38.0625141018], [145.2900572909, -38.0625345982], [145.2900610993, -38.0625766488], [145.2900670168, -38.062596651], [145.2900743764, -38.0626232529], [145.2900816716, -38.0626428246], [145.2900914143, -38.0626747782], [145.2901002035, -38.0626938309], [145.2901143285, -38.0627235952], [145.2901216531, -38.0627419057], [145.290137251, -38.062772052], [145.2901490363, -38.0627897064], [145.2901699344, -38.0628174065], [145.2901831038, -38.0628343601], [145.2901983089, -38.0628617971], [145.2902126409, -38.0628777763], [145.2902398423, -38.0629089025], [145.2902488797, -38.0629221912], [145.2902673563, -38.0629412948], [145.2902830928, -38.0629556725], [145.2903008693, -38.0629705308], [145.2903146218, -38.0629829215], [145.2903431943, -38.0630035419], [145.2903628401, -38.0630135099], [145.290382186, -38.0630265803], [145.2904027324, -38.0630352224], [145.2904393595, -38.0630528697], [145.2904604645, -38.0630602307], [145.2905001979, -38.0630719604], [145.290522119, -38.0630778344], [145.2905583372, -38.0630840624], [145.2905849776, -38.0630882871], [145.2906226203, -38.063090243], [145.2906487113, -38.0630899283], [145.2906862873, -38.0630867003], [145.2907083876, -38.0630824317], [145.2907457078, -38.0630755912], [145.2907683062, -38.0630695275], [145.2907940357, -38.0630611669], [145.2908176598, -38.063055023], [145.290842412, -38.0630444797], [145.2908669222, -38.0630345656], [145.2909064733, -38.0630154325], [145.2909314233, -38.0630013842], [145.2909485853, -38.0629888386], [145.2909701895, -38.0629764491], [145.2909902665, -38.0629660203], [145.2910070933, -38.0629532009], [145.2910277069, -38.0629442233], [145.2910498583, -38.062928068], [145.2910697043, -38.0629178202], [145.2910863311, -38.0629038284], [145.291105408, -38.062892305], [145.2911217853, -38.0628792089], [145.2911398632, -38.0628664978], [145.2911549827, -38.0628535642], [145.2911698388, -38.0628421588], [145.2911974823, -38.0628201357], [145.2912134432, -38.0628053204], [145.2912440463, -38.0627638719], [145.2912568692, -38.0627467574], [145.2912732741, -38.0627227591], [145.2912847505, -38.0627048164], [145.2912974639, -38.0626780704], [145.2913077079, -38.0626594897], [145.2913135428, -38.0626439891], [145.2913223095, -38.0626248319], [145.2913270152, -38.0626087702], [145.2913343107, -38.0625891403], [145.291344348, -38.0625594576], [145.2913500591, -38.0625393548], [145.2913539177, -38.0625204872], [145.2913580381, -38.0625001824], [145.2913627607, -38.0624738553], [145.2913652927, -38.0624533498]]]], ""type"": ""MultiPolygon""}",Oval 1 - Strathaird Reserve,Oval,3805,Turf,Turf,130A4,-38.06245335,145.2913653,350051,5785875,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.06245334978772,145.29136529267473/@your+location,17z/data=!4m2!4m1!3e0"
"-38.12110139646761, 145.31077646674663","{""coordinates"": [[[[145.311577232, -38.1211765119], [145.3115840398, -38.121128577], [145.3115883389, -38.121080606], [145.3115889846, -38.1210327628], [145.3115844325, -38.1209778157], [145.3115790177, -38.1209306063], [145.3115726637, -38.1208845549], [145.3115612816, -38.1208388818], [145.3115424894, -38.1207880556], [145.3115250158, -38.1207443676], [145.3114974013, -38.1207001734], [145.3114746135, -38.120659383], [145.3114493542, -38.1206268478], [145.3114211238, -38.1205895838], [145.3113871605, -38.1205535891], [145.3113542753, -38.1205203135], [145.3113109549, -38.1204894111], [145.3112737467, -38.1204605791], [145.3112357775, -38.1204350706], [145.31119469, -38.1204112294], [145.3111543757, -38.1203934373], [145.3111103149, -38.1203748703], [145.311063853, -38.1203614956], [145.3110173807, -38.1203485713], [145.310967168, -38.1203395584], [145.3109189622, -38.1203325569], [145.3108663547, -38.120328466], [145.3108172137, -38.1203273988], [145.310763422, -38.1203301398], [145.310714144, -38.1203350183], [145.3106662384, -38.1203446928], [145.3106177356, -38.1203555303], [145.3105769021, -38.1203701728], [145.3105296369, -38.1203867055], [145.3104832238, -38.1204058637], [145.31043233, -38.1204263994], [145.3103838308, -38.120451926], [145.3103401624, -38.1204806762], [145.3102942153, -38.1205093035], [145.3102585852, -38.1205406925], [145.3102280061, -38.1205657559], [145.3101929522, -38.1206018394], [145.3101541885, -38.1206503959], [145.3101219956, -38.1206910264], [145.3100934185, -38.1207331508], [145.3100697534, -38.1207749854], [145.3100434464, -38.1208225495], [145.3100233576, -38.1208675896], [145.3100041292, -38.1209148951], [145.3099897027, -38.120961729], [145.3099785627, -38.1210045549], [145.3099714158, -38.1210523045], [145.3099655916, -38.1211020558], [145.3099645051, -38.1211541282], [145.3099654883, -38.1211955965], [145.3099733319, -38.1212462654], [145.309980848, -38.1212962988], [145.3099879537, -38.1213443437], [145.309995406, -38.1213823003], [145.3100140959, -38.1214276281], [145.3100390514, -38.1214782729], [145.3100606901, -38.1215144511], [145.3100799402, -38.1215503246], [145.3101124788, -38.1215887323], [145.3101458694, -38.1216297657], [145.3101775892, -38.1216641063], [145.3102065164, -38.121690927], [145.3102428995, -38.1217209189], [145.3102902468, -38.1217503476], [145.3103303913, -38.1217755273], [145.310373273, -38.1217957899], [145.3104166191, -38.1218156986], [145.3104635959, -38.1218315141], [145.3105095817, -38.1218457834], [145.3105565483, -38.1218570929], [145.3106043797, -38.121865531], [145.3106527337, -38.1218710929], [145.3107016144, -38.1218735983], [145.3107507896, -38.1218732242], [145.3108000354, -38.121869787], [145.3108492337, -38.1218634654], [145.3108979323, -38.1218540726], [145.3109464672, -38.1218418837], [145.3109957754, -38.1218307874], [145.3110427304, -38.1218128984], [145.3110982696, -38.1217888245], [145.3111429543, -38.1217654957], [145.3111889806, -38.1217384013], [145.3112307005, -38.1217100734], [145.3112723394, -38.1216803024], [145.3113105117, -38.1216475077], [145.3113514935, -38.1216115992], [145.3113855418, -38.1215745998], [145.3114143941, -38.1215353628], [145.3114435056, -38.1214947777], [145.3114697475, -38.1214549625], [145.3114937874, -38.1214116911], [145.3115170271, -38.1213635419], [145.3115355311, -38.121317938], [145.3115523618, -38.1212706879], [145.311565195, -38.1212236507], [145.311577232, -38.1211765119]]]], ""type"": ""MultiPolygon""}",Oval 2 (Vfl Football) - Casey Fields,Oval,3977,Turf,Na,134F8,-38.12117651,145.3115772,351930,5779402,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.12117651188364,145.31157723196776/@your+location,17z/data=!4m2!4m1!3e0"
"-38.045571677920336, 145.35399841699652","{""coordinates"": [[[[145.3546482634, -38.0457166107], [145.3546606097, -38.0456790297], [145.3546724313, -38.0456392803], [145.3546777091, -38.0456038852], [145.3546837144, -38.0455641328], [145.3546822929, -38.0455280862], [145.3546832947, -38.0454885407], [145.354682527, -38.0454630677], [145.3546785623, -38.0454192626], [145.3546752243, -38.045390607], [145.3546650982, -38.0453458697], [145.3546542351, -38.0453069665], [145.3546415477, -38.0452682184], [145.3546238488, -38.0452345366], [145.3546075491, -38.045204848], [145.3545848784, -38.0451741625], [145.3545740089, -38.0451608531], [145.3545422378, -38.0451191342], [145.3545128395, -38.0450935795], [145.3544974632, -38.0450779538], [145.3544675303, -38.0450559061], [145.3544294452, -38.045031491], [145.354391386, -38.0450106775], [145.3543581933, -38.0449914652], [145.3543148809, -38.0449769899], [145.3542786036, -38.0449632373], [145.3542390155, -38.0449513437], [145.3541896369, -38.0449424128], [145.3541416415, -38.0449376914], [145.3540967265, -38.044933278], [145.3540526925, -38.0449353649], [145.3540169868, -38.0449370277], [145.3539722511, -38.0449399158], [145.3539280617, -38.0449489397], [145.3538835467, -38.044957238], [145.3538399258, -38.0449714066], [145.3537910242, -38.0449873036], [145.3537493449, -38.0450063658], [145.3537076523, -38.0450311053], [145.3536677069, -38.045054157], [145.3536303111, -38.0450803985], [145.3535932388, -38.0451074557], [145.3535568761, -38.0451435347], [145.3535231447, -38.0451740632], [145.3534914336, -38.0452059717], [145.3534615129, -38.0452393473], [145.3534336125, -38.0452741029], [145.3534083101, -38.0453098862], [145.3533846922, -38.0453467746], [145.3533640202, -38.0453844252], [145.3533456063, -38.0454230086], [145.3533362802, -38.0454527074], [145.353330914, -38.04548877], [145.3533236656, -38.045522373], [145.3533206303, -38.0455561252], [145.3533165264, -38.0455867082], [145.3533114533, -38.0456351213], [145.3533129795, -38.0456839873], [145.353317962, -38.045721006], [145.353321266, -38.0457566494], [145.35332838, -38.0457799097], [145.3533413097, -38.0458233481], [145.3533579222, -38.0458702626], [145.3533727828, -38.0459038149], [145.3533801642, -38.0459202299], [145.3534015628, -38.0459518911], [145.3534343506, -38.045998937], [145.3534606004, -38.0460268849], [145.3534748358, -38.046051371], [145.3535048886, -38.0460753124], [145.3535311032, -38.0460939494], [145.3535648044, -38.0461140733], [145.3536029272, -38.0461366809], [145.3536402926, -38.0461525246], [145.3536786773, -38.0461686529], [145.3537172727, -38.0461804585], [145.3537542958, -38.0461912524], [145.3537964511, -38.0462018454], [145.3538239859, -38.046203762], [145.3538573597, -38.0462045021], [145.3539131061, -38.0462087112], [145.3539626258, -38.0462059825], [145.3540115058, -38.0462012596], [145.3540566748, -38.0461943222], [145.3541044948, -38.0461860718], [145.3541481964, -38.0461729227], [145.3541921849, -38.0461578041], [145.3542352431, -38.046140147], [145.3542741128, -38.0461206815], [145.3543105252, -38.0460985775], [145.3543497077, -38.0460745272], [145.3543835662, -38.0460485062], [145.3544196359, -38.0460205343], [145.3544542242, -38.0459924508], [145.3544787511, -38.0459658486], [145.3545211096, -38.0459266102], [145.3545482273, -38.0458956516], [145.3545747659, -38.0458602596], [145.3545935501, -38.0458250321], [145.3546156829, -38.0457876943], [145.3546312174, -38.0457553844], [145.3546482634, -38.0457166107]]]], ""type"": ""MultiPolygon""}",Oval - Berwick Primary School Oval,Oval,3806,Turf,Synthetic,111F11,-38.04571661,145.3546483,355570,5787851,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.04571661070953,145.3546482634055/@your+location,17z/data=!4m2!4m1!3e0"
"-38.11579704514224, 145.27212641544253","{""coordinates"": [[[[145.2719630872, -38.1151665922], [145.2714908955, -38.1161879335], [145.2723042881, -38.1164202171], [145.2727540677, -38.1154076094], [145.2719630872, -38.1151665922]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 1 - Cranbourne Soccer Club,Soccer,3977,Turf,Na,133G6,-38.11516659,145.2719631,348530,5779928,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-38.11516659221501,145.27196308716208/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9903248176664, 145.2740592979711","{""coordinates"": [[[[145.2736383844, -37.9897255671], [145.2731784683, -37.990350944], [145.2744335057, -37.9908968814], [145.2745013977, -37.9909250036], [145.2748419621, -37.990449756], [145.2748311192, -37.99042166], [145.2748264371, -37.9903493157], [145.2748856423, -37.9902670044], [145.2736383844, -37.9897255671]]]], ""type"": ""MultiPolygon""}",Rugby Field 1 - Frog Hollow Reserve,Rugby,3802,Turf,Na,91H8,-37.98972557,145.2736384,348439,5793854,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.98972556705626,145.27363838438535/@your+location,17z/data=!4m2!4m1!3e0"
"-37.995414774537764, 145.30658490074114","{""coordinates"": [[[[145.3057800309, -37.9950081456], [145.3056575461, -37.9955918005], [145.3073940965, -37.9958240299], [145.3075026614, -37.9952326791], [145.3057800309, -37.9950081456]]]], ""type"": ""MultiPolygon""}",Soccer Pitch (Junior) - Jack Thomas Reserve,Soccer,3804,Turf,Na,1.08E+11,-37.99500815,145.30578,351308,5793342,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.995008145583085,145.30578003090324/@your+location,17z/data=!4m2!4m1!3e0"
"-37.99436813725412, 145.30681626843966","{""coordinates"": [[[[145.3075459258, -37.9940867838], [145.3062301537, -37.9939181739], [145.3060907326, -37.9946452212], [145.3073906771, -37.9948239368], [145.3075459258, -37.9940867838]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 1 - Jack Thomas Reserve,Soccer,3804,Turf,Na,1.08E+11,-37.99408678,145.3075459,351326,5793458,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.99408678382335,145.30754592576727/@your+location,17z/data=!4m2!4m1!3e0"
"-37.99355856703597, 145.30719111556584","{""coordinates"": [[[[145.3066339126, -37.9931251919], [145.3064767371, -37.9938294647], [145.3077545764, -37.9939931847], [145.3078976438, -37.9932833913], [145.3066339126, -37.9931251919]]]], ""type"": ""MultiPolygon""}",Soccer Pitch 2 - Jack Thomas Reserve,Soccer,3804,Turf,Na,1.08E+11,-37.99312519,145.3066339,351357,5793549,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.993125191853615,145.3066339125801/@your+location,17z/data=!4m2!4m1!3e0"
"-37.99296283570367, 145.30734937195","{""coordinates"": [[[[145.3066882788, -37.9931002521], [145.3079056733, -37.9932530077], [145.3080026813, -37.9928313526], [145.3068173852, -37.992665519], [145.3066882788, -37.9931002521]]]], ""type"": ""MultiPolygon""}",Soccer Pitch (Practice) - Jack Thomas Reserve,Soccer,3804,Turf,Na,1.08E+11,-37.99310025,145.3066883,351370,5793615,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.99310025211817,145.3066882788072/@your+location,17z/data=!4m2!4m1!3e0"
"-37.979656391085385, 145.24726908750415","{""coordinates"": [[[[145.2475042604, -37.9801685792], [145.2477276903, -37.9792410562], [145.2470137348, -37.9791573854], [145.2468232576, -37.9800706656], [145.2475042604, -37.9801685792]]]], ""type"": ""MultiPolygon""}",Soccer Pitch - James Cook Reserve,Soccer,3802,Turf,Na,91A5,-37.98016858,145.2475043,346067,5794993,MGA2020 Zone 55,"https://www.google.com.au/maps/dir//-37.98016857916133,145.24750426036343/@your+location,17z/data=!4m2!4m1!3e0"
